,0,1,2,3
144,Iceland,498,186,"209,994"
145,Thailand,483,"34,653","4,783,522"
146,Saint Barthélemy,454,5,"5,507"
147,Vietnam,440,"43,206","11,624,000"
148,Morocco,435,"16,305","1,279,115"
149,Marshall Islands,408,17,"16,248"
150,Brunei,396,178,"344,643"
151,Nepal,393,"12,031","1,003,450"
152,Dominican Republic,390,"4,384","661,103"
153,India,376,"533,617","45,039,872"
154,Greenland,371,21,"11,971"
155,Myanmar,359,"19,494","642,482"
156,Singapore,359,"2,024","3,006,155"
157,Sao Tome and Principe,351,80,"6,771"
158,Zimbabwe,351,"5,740","266,362"
159,Saint Pierre and Miquelon,339,2,"3,426"
160,Lesotho,307,709,"36,138"
161,Solomon Islands,274,199,"25,954"
162,Saudi Arabia,264,"9,646","841,469"
163,Qatar,256,690,"514,524"
164,United Arab Emirates,248,"2,349","1,067,030"
165,Egypt,223,"24,830","516,023"
166,Mauritania,210,997,"63,866"
167,Venezuela,206,"5,856","552,695"
168,Zambia,203,"4,069","349,653"
169,Afghanistan,194,"7,998","235,214"
170,Comoros,191,160,"9,109"
171,Kiribati,182,24,"5,085"
172,Cambodia,182,"3,056","139,174"
173,Macau,174,121,"3,514"
174,Bangladesh,172,"29,495","2,050,511"
175,Djibouti,168,189,"15,690"
176,Kyrgyzstan,154,"1,024","88,953"
177,Algeria,153,"6,881","272,033"
178,Syria,142,"3,163","57,423"
179,Samoa,139,31,"17,057"
180,Gambia,137,372,"12,627"
181,Malawi,131,"2,686","89,168"
182,Pakistan,129,"30,656","1,580,631"
183,Gabon,128,307,"49,051"
184,Cook Islands,117,2,"7,326"
185,Senegal,113,"1,971","89,078"
186,Tonga,112,12,"16,966"
187,Equatorial Guinea,109,183,"17,130"
188,Sudan,107,"5,046","63,993"
189,Rwanda,106,"1,468","133,252"
190,Kenya,105,"5,689","344,101"
191,Timor-Leste,102,138,"23,460"
192,Laos,89,671,"219,046"
193,Tuvalu,88,1,"2,943"
194,China[c],85,"122,225","99,359,802"
195,Guinea-Bissau,84,177,"9,614"
196,Nauru,78,1,"5,393"
197,Somalia,77,"1,361","27,334"
198,Uganda,76,"3,632","172,149"
199,Haiti,74,860,"34,298"
200,Cameroon,70,"1,974","125,238"
201,Mozambique,68,"2,252","233,821"
202,Papua New Guinea,66,670,"46,864"
203,Republic of the Congo,65,389,"25,220"
204,Yemen,64,"2,159","11,945"
205,Ethiopia,61,"7,574","501,171"
206,Liberia,55,294,"7,930"
207,Angola,54,"1,937","107,463"
208,Madagascar,48,"1,427","68,549"
209,Ghana,43,"1,462","172,036"
210,Vanuatu,42,14,"12,019"
211,Nicaragua,35,245,"16,148"
212,Guinea,33,468,"38,572"
213,Mali,32,743,"33,164"
214,Togo,32,290,"39,530"
215,Ivory Coast,29,835,"88,427"
216,Uzbekistan,29,"1,016","175,081"
217,Eritrea,27,103,"10,189"
218,Bhutan,26,21,"62,697"
219,Central African Republic,20,113,"15,440"
220,Burkina Faso,17,400,"22,128"
221,Democratic Republic of the Congo,14,"1,470","100,616"
222,Sierra Leone,14,125,"7,836"
223,Nigeria,14,"3,155","267,188"
224,South Sudan,13,147,"18,823"
225,Tanzania,12,846,"43,226"
226,Tajikistan,12,125,"17,786"
227,Benin,12,163,"28,036"
228,Niger,12,315,"9,515"
229,Chad,10,194,"7,702"
230,Burundi,1,15,"54,569"
231,North Korea,0,6,1
232,Pitcairn Islands,—,—,4
233,Falkland Islands,—,—,"1,923"
234,Niue,—,—,"1,074"
235,Turkmenistan,—,0,0
236,Vatican City,—,0,26
237,Tokelau,—,0,80
238,"Saint Helena, Ascension and Tristan da Cunha",—,—,"2,166"
